id;client_logo;name;code;main_contact_name;main_contact_email;current_card_holder_number;current_brunche_number;current_customers_number;main_contact_phone_number;url;crea_date;update_date;notes
1;between electrify;avow wisely;ouch victorious cautiously;gee;"j@t^'f.4JR";10379;32654;29951;dimly indeed desecrate;https://rich-compromise.com;2025-03-20;2025-03-20;eek
2;loyally minus finger;gulp serpentine stingy;smog pfft pfft;eek;"RN@G$.(9!N5";29515;14637;20681;so really;https://fake-toothbrush.info;2025-03-20;2025-03-21;colorfully incidentally kookily
3;celebrated;yum;so;duh;"}#r-@h1.{pt_o_";31339;21114;22762;coagulate how;https://flustered-hutch.name/;2025-03-21;2025-03-20;gnash
4;super;crafty;weight;like;"EB*RGB@rf'.uM0!";29728;19300;30617;meanwhile vibrant buzzing;https://new-juggernaut.com;2025-03-20;2025-03-21;if ha
5;regularly deselect gadzooks;shadowy consign;hourly pacemaker crazy;rotten;"Qj?f,Z@sq;z:y.JRHW<";6917;1463;17380;bah concerning supposing;https://deafening-flat.info/;2025-03-21;2025-03-20;unaccountably hassle executor
6;courageously underneath;pace technologist spear;rally about whoa;or;"Y@Y5.1i";12566;22243;25319;past;https://bouncy-slide.info/;2025-03-20;2025-03-21;amid whistle bourgeoisie
7;hence troubled;contrail even accompanist;voluntarily rudely despite;redesign legitimize furiously;"U&x@*Bq2Kg.8q";2590;15308;21707;mount buttery;https://personal-slime.name;2025-03-20;2025-03-20;beneath enthusiastically worth
8;heartbeat ostrich;psst carp hmph;through;notwithstanding kiddingly;"'@z47Q.4'9";988;11282;27130;final pressure;https://weird-spear.org;2025-03-21;2025-03-21;travel knottily atop
9;kookily phooey;lest;till wrongly;enlist brisk;"dcc@Ij)V.s1'.";5691;17990;28311;amendment hm;https://basic-strategy.net;2025-03-21;2025-03-20;wicked which psst
10;atop scoop;secrecy loyally;taro abaft hmph;why rarely nor;";@^10W)y.f#vT";8763;3683;21890;yellowish;https://complicated-tentacle.info/;2025-03-21;2025-03-20;past
